jahr,gemeinde_bfs_nr,gemeinde,altersklasse,heimat,geschlecht,anzahl,anzahl_ist_kleingruppe
2022,230,Winterthur,70-74,Ausland,männlich,302,false
2022,230,Winterthur,70-74,Ausland,weiblich,314,false
2022,230,Winterthur,70-74,Schweiz,männlich,1618,false
2022,230,Winterthur,70-74,Schweiz,weiblich,2110,false
2022,230,Winterthur,75-79,Ausland,männlich,245,false
2022,230,Winterthur,75-79,Ausland,weiblich,253,false
2022,230,Winterthur,75-79,Schweiz,männlich,1491,false
2022,230,Winterthur,75-79,Schweiz,weiblich,1993,false
2022,230,Winterthur,80-84,Ausland,männlich,216,false
2022,230,Winterthur,80-84,Ausland,weiblich,228,false
2022,230,Winterthur,80-84,Schweiz,männlich,1000,false
2022,230,Winterthur,80-84,Schweiz,weiblich,1526,false
2022,230,Winterthur,85-89,Ausland,männlich,113,false
2022,230,Winterthur,85-89,Ausland,weiblich,108,false
2022,230,Winterthur,85-89,Schweiz,männlich,612,false
2022,230,Winterthur,85-89,Schweiz,weiblich,1044,false
2022,230,Winterthur,90-94,Ausland,männlich,37,false
2022,230,Winterthur,90-94,Ausland,weiblich,42,false
2022,230,Winterthur,90-94,Schweiz,männlich,278,false
2022,230,Winterthur,90-94,Schweiz,weiblich,549,false
2022,230,Winterthur,95+,Ausland,männlich,,true
2022,230,Winterthur,95+,Ausland,weiblich,,true
2022,230,Winterthur,95+,Schweiz,männlich,48,false
2022,230,Winterthur,95+,Schweiz,weiblich,189,false
2021,230,Winterthur,00-04,Ausland,männlich,812,false
2021,230,Winterthur,00-04,Ausland,weiblich,775,false
2021,230,Winterthur,00-04,Schweiz,männlich,2434,false
2021,230,Winterthur,00-04,Schweiz,weiblich,2237,false
2021,230,Winterthur,05-09,Ausland,männlich,819,false
2021,230,Winterthur,05-09,Ausland,weiblich,818,false
2021,230,Winterthur,05-09,Schweiz,männlich,2206,false
2021,230,Winterthur,05-09,Schweiz,weiblich,2126,false
2021,230,Winterthur,10-14,Ausland,männlich,736,false
2021,230,Winterthur,10-14,Ausland,weiblich,665,false
2021,230,Winterthur,10-14,Schweiz,männlich,2215,false
2021,230,Winterthur,10-14,Schweiz,weiblich,2074,false
2021,230,Winterthur,15-19,Ausland,männlich,609,false
2021,230,Winterthur,15-19,Ausland,weiblich,476,false
2021,230,Winterthur,15-19,Schweiz,männlich,2208,false
2021,230,Winterthur,15-19,Schweiz,weiblich,2134,false
2021,230,Winterthur,20-24,Ausland,männlich,857,false
2021,230,Winterthur,20-24,Ausland,weiblich,696,false
2021,230,Winterthur,20-24,Schweiz,männlich,2742,false
2021,230,Winterthur,20-24,Schweiz,weiblich,3030,false
2021,230,Winterthur,25-29,Ausland,männlich,1255,false
2021,230,Winterthur,25-29,Ausland,weiblich,1223,false
2021,230,Winterthur,25-29,Schweiz,männlich,3653,false
2021,230,Winterthur,25-29,Schweiz,weiblich,3830,false
2021,230,Winterthur,30-34,Ausland,männlich,1677,false
2021,230,Winterthur,30-34,Ausland,weiblich,1605,false
