jahr,gemeinde_bfs_nr,gemeinde,stadtkreis_bfs_nr,stadtkreis,quartier_bfs_nr,quartier,staatenkleingruppe,region,anzahl,anzahl_ist_kleingruppe
2023,230,Winterthur,7,Mattenbach,710,Deutweg,Amerika,übrige Kontinente,67,false
2023,230,Winterthur,7,Mattenbach,710,Deutweg,Asien,übrige Kontinente,168,false
2023,230,Winterthur,7,Mattenbach,710,Deutweg,Australien und Ozeanien,übrige Kontinente,,true
2023,230,Winterthur,7,Mattenbach,710,Deutweg,Bosnien u. Herzegowina,Südosteuropa,,true
2023,230,Winterthur,7,Mattenbach,710,Deutweg,Deutschland,"Nord-, Mittel- und Westeuropa",315,false
2023,230,Winterthur,7,Mattenbach,710,Deutweg,Italien,Südeuropa,209,false
2023,230,Winterthur,7,Mattenbach,710,Deutweg,Kosovo,Südosteuropa,44,false
2023,230,Winterthur,7,Mattenbach,710,Deutweg,Mazedonien,Südosteuropa,105,false
2023,230,Winterthur,7,Mattenbach,710,Deutweg,Nordeuropa,"Nord-, Mittel- und Westeuropa",24,false
2023,230,Winterthur,7,Mattenbach,710,Deutweg,Österreich,"Nord-, Mittel- und Westeuropa",59,false
2023,230,Winterthur,7,Mattenbach,710,Deutweg,Osteuropa und Russland,Osteuropa,187,false
2023,230,Winterthur,7,Mattenbach,710,Deutweg,Portugal,Südeuropa,45,false
2023,230,Winterthur,7,Mattenbach,710,Deutweg,Schweiz,"Nord-, Mittel- und Westeuropa",5541,false
2023,230,Winterthur,7,Mattenbach,710,Deutweg,Serbien,Südosteuropa,36,false
2023,230,Winterthur,7,Mattenbach,710,Deutweg,Spanien,Südeuropa,66,false
2023,230,Winterthur,7,Mattenbach,710,Deutweg,Türkei,Osteuropa,75,false
2023,230,Winterthur,7,Mattenbach,710,Deutweg,übriges Mitteleuropa,"Nord-, Mittel- und Westeuropa",90,false
2023,230,Winterthur,7,Mattenbach,710,Deutweg,übriges Südosteuropa,Südosteuropa,27,false
2023,230,Winterthur,7,Mattenbach,710,Deutweg,unbekannt,unbekannt,7,false
2023,230,Winterthur,7,Mattenbach,710,Deutweg,Westeuropa,"Nord-, Mittel- und Westeuropa",61,false
2023,230,Winterthur,4,Töss,430,Eichliacker,Afrika,übrige Kontinente,123,false
2023,230,Winterthur,4,Töss,430,Eichliacker,Amerika,übrige Kontinente,27,false
